Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1993-1994,5,1,Final Four,2,82,arizona,arkansas,91,1,,,
1993-1994,5,2,Final Four,3,65,florida,duke,70,2,,,
1993-1994,6,1,Championship,1,76,arkansas,duke,72,2,,,
1994-1995,1,1,Midwest,1,82,kansas,colgate,68,16,,,
1994-1995,1,1,Midwest,2,79,arkansas,texas-southern,78,15,,,
1994-1995,1,1,Midwest,3,49,purdue,green-bay,48,14,,,
1994-1995,1,1,Midwest,4,96,virginia,nicholls-state,72,13,,,
1994-1995,1,1,Midwest,5,62,arizona,miami-(oh),71,12,,,
1994-1995,1,1,Midwest,6,77,memphis,louisville,56,11,,,
1994-1995,1,1,Midwest,7,96,syracuse,southern-illinois,92,10,,,
1994-1995,1,1,Midwest,8,82,western-kentucky,michigan,76,9,,,
1994-1995,1,2,Southeast,1,113,kentucky,mount-st.-mary's,67,16,,,
1994-1995,1,2,Southeast,2,80,north-carolina,murray-state,70,15,,,
1994-1995,1,2,Southeast,3,72,michigan-state,weber-state,79,14,,,
1994-1995,1,2,Southeast,4,67,oklahoma,manhattan,77,13,,,
1994-1995,1,2,Southeast,5,81,arizona-state,ball-state,66,12,,,
1994-1995,1,2,Southeast,6,68,georgetown,xavier,63,11,,,
1994-1995,1,2,Southeast,7,64,iowa-state,florida,61,10,,,
1994-1995,1,2,Southeast,8,70,brigham-young,tulane,76,9,,,
1994-1995,1,3,East,1,79,wake-forest,north-carolina-a&t,47,16,,,
1994-1995,1,3,East,2,68,massachusetts,saint-peter's,51,15,,,
1994-1995,1,3,East,3,81,villanova,old-dominion,89,14,,,
1994-1995,1,3,East,4,73,oklahoma-state,drexel,49,13,,,
1994-1995,1,3,East,5,91,alabama,pennsylvania,85,12,,,
1994-1995,1,3,East,6,68,tulsa,illinois,62,11,,,
1994-1995,1,3,East,7,68,charlotte,stanford,70,10,,,
1994-1995,1,3,East,8,61,minnesota,saint-louis,64,9,,,
1994-1995,1,4,West,1,92,ucla,florida-international,56,16,,,
1994-1995,1,4,West,2,100,connecticut,chattanooga,71,15,,,
1994-1995,1,4,West,3,87,maryland,gonzaga,63,14,,,
1994-1995,1,4,West,4,76,utah,long-beach-state,64,13,,,
1994-1995,1,4,West,5,75,mississippi-state,santa-clara,67,12,,,
1994-1995,1,4,West,6,73,oregon,texas,90,11,,,
1994-1995,1,4,West,7,77,cincinnati,temple,71,10,,,
1994-1995,1,4,West,8,65,missouri,indiana,60,9,,,
1994-1995,2,1,Midwest,1,75,kansas,western-kentucky,70,8,,,
1994-1995,2,1,Midwest,2,96,arkansas,syracuse,94,7,,,
1994-1995,2,1,Midwest,3,73,purdue,memphis,75,6,,,
1994-1995,2,1,Midwest,4,60,virginia,miami-(oh),54,12,,,
1994-1995,2,2,Southeast,1,82,kentucky,tulane,60,9,,,
1994-1995,2,2,Southeast,2,73,north-carolina,iowa-state,51,7,,,
1994-1995,2,2,Southeast,14,51,weber-state,georgetown,53,6,,,
1994-1995,2,2,Southeast,13,54,manhattan,arizona-state,64,5,,,
1994-1995,2,3,East,1,64,wake-forest,saint-louis,59,9,,,
1994-1995,2,3,East,2,75,massachusetts,stanford,53,10,,,
1994-1995,2,3,East,14,52,old-dominion,tulsa,64,6,,,
1994-1995,2,3,East,4,66,oklahoma-state,alabama,52,5,,,
1994-1995,2,4,West,1,75,ucla,missouri,74,8,,,
1994-1995,2,4,West,2,96,connecticut,cincinnati,91,7,,,
1994-1995,2,4,West,3,82,maryland,texas,68,11,,,
1994-1995,2,4,West,4,64,utah,mississippi-state,78,5,,,
1994-1995,3,1,Midwest,1,58,kansas,virginia,67,4,,,
1994-1995,3,1,Midwest,2,96,arkansas,memphis,91,6,,,
1994-1995,3,2,Southeast,1,97,kentucky,arizona-state,73,5,,,
1994-1995,3,2,Southeast,2,74,north-carolina,georgetown,64,6,,,
1994-1995,3,3,East,1,66,wake-forest,oklahoma-state,71,4,,,
1994-1995,3,3,East,2,76,massachusetts,tulsa,51,6,,,
1994-1995,3,4,West,1,86,ucla,mississippi-state,67,5,,,
1994-1995,3,4,West,2,99,connecticut,maryland,89,3,,,
